Configuration,Classifier,Repetition,OOFPredictions,TP,FP,TN,FN,Precision,Recall,AUC,Kappa,NPofB20,TotalLOC,BudgetLOC,InspectedLOC,InspectedRows,BuggyFound,TotalBuggy
C1,NaiveBayes,9,12836,749,693,10133,1261,0.519417475728,0.372636815920,0.804301740880,0.348751767973,0.197512437811,1750165.000000000000,350033.000000000000,350439.000000000000,932,397,2010
C1,IBk,9,12836,1315,669,10157,695,0.662802419355,0.654228855721,0.805515651008,0.595569955574,0.536318407960,1750165.000000000000,350033.000000000000,350172.000000000000,1721,1078,2010
C2,RandomForest,9,12836,1355,474,10352,655,0.740841990159,0.674129353234,0.943081677333,0.654337392090,0.673631840796,1750165.000000000000,350033.000000000000,350146.000000000000,2913,1354,2010
C2,NaiveBayes,9,12836,681,576,10250,1329,0.541766109785,0.338805970149,0.798916488130,0.337006337388,0.199004975124,1750165.000000000000,350033.000000000000,350369.000000000000,885,400,2010
C2,IBk,9,12836,1316,524,10302,694,0.715217391304,0.654726368159,0.904585377197,0.627949112128,0.634328358209,1750165.000000000000,350033.000000000000,350345.000000000000,2093,1275,2010
C3,RandomForest,9,12836,1614,423,10403,396,0.792341678940,0.802985074627,0.964160699367,0.759757041321,0.695024875622,1750165.000000000000,350033.000000000000,350315.000000000000,3531,1397,2010
C3,NaiveBayes,9,12836,804,772,10054,1206,0.510152284264,0.400000000000,0.805692211398,0.360372663372,0.210447761194,1750165.000000000000,350033.000000000000,350362.000000000000,1049,423,2010
C3,IBk,9,12836,1459,956,9870,551,0.604140786749,0.725870646766,0.827931513686,0.589224013081,0.563184079602,1750165.000000000000,350033.000000000000,350634.000000000000,2027,1132,2010
C4,RandomForest,9,12836,1534,637,10189,476,0.706586826347,0.763184079602,0.942912308952,0.682098329734,0.676616915423,1750165.000000000000,350033.000000000000,350394.000000000000,3111,1360,2010
C4,NaiveBayes,9,12836,761,708,10118,1249,0.518039482641,0.378606965174,0.799142036906,0.351758393008,0.238308457711,1750165.000000000000,350033.000000000000,350418.000000000000,1136,479,2010
C4,IBk,9,12836,1512,738,10088,498,0.672000000000,0.752238805970,0.908724321309,0.652354044012,0.644278606965,1750165.000000000000,350033.000000000000,350178.000000000000,2251,1295,2010
C1,RandomForest,10,12836,1447,261,10565,563,0.847189695550,0.719900497512,0.961262618186,0.741131694660,0.692039800995,1750165.000000000000,350033.000000000000,350268.000000000000,3138,1391,2010
C1,NaiveBayes,10,12836,750,694,10132,1260,0.519390581717,0.373134328358,0.804624393275,0.349049785387,0.198009950249,1750165.000000000000,350033.000000000000,350417.000000000000,935,398,2010
C1,IBk,10,12836,1309,680,10146,701,0.658119658120,0.651243781095,0.803334564936,0.590945911544,0.529850746269,1750165.000000000000,350033.000000000000,350122.000000000000,1717,1065,2010
C2,RandomForest,10,12836,1343,476,10350,667,0.738317757009,0.668159203980,0.943917329113,0.649313625962,0.674626865672,1750165.000000000000,350033.000000000000,350423.000000000000,2890,1356,2010
C2,NaiveBayes,10,12836,698,565,10261,1312,0.552652414885,0.347263681592,0.797205892760,0.347686669175,0.210447761194,1750165.000000000000,350033.000000000000,350132.000000000000,908,423,2010
C2,IBk,10,12836,1312,538,10288,698,0.709189189189,0.652736318408,0.902922483463,0.623241247439,0.628855721393,1750165.000000000000,350033.000000000000,350658.000000000000,2102,1264,2010
C3,RandomForest,10,12836,1596,443,10383,414,0.782736635606,0.794029850746,0.963268936125,0.748711491161,0.689054726368,1750165.000000000000,350033.000000000000,350138.000000000000,3528,1385,2010
C3,NaiveBayes,10,12836,804,772,10054,1206,0.510152284264,0.400000000000,0.805922976104,0.360372663372,0.212935323383,1750165.000000000000,350033.000000000000,350639.000000000000,1050,428,2010
C3,IBk,10,12836,1463,962,9864,547,0.603298969072,0.727860696517,0.828391733371,0.589447459429,0.561691542289,1750165.000000000000,350033.000000000000,350411.000000000000,2031,1129,2010
C4,RandomForest,10,12836,1525,662,10164,485,0.697302240512,0.758706467662,0.943366554444,0.673412132024,0.680099502488,1750165.000000000000,350033.000000000000,350593.000000000000,3119,1367,2010
C4,NaiveBayes,10,12836,780,715,10111,1230,0.521739130435,0.388059701493,0.797469814239,0.359521788966,0.269154228856,1750165.000000000000,350033.000000000000,350335.000000000000,1275,541,2010
C4,IBk,10,12836,1513,730,10096,497,0.674543022737,0.752736318408,0.909654388321,0.654418131765,0.643781094527,1750165.000000000000,350033.000000000000,350311.000000000000,2242,1294,2010
